Elapsed .ino Time (millisecs),Lat (deg *10^-7),Long (deg *10^-7),Altitude (mm),Accuracy (mm)
1835,0,0,0,0
3867,0,0,0,0
5900,0,0,0,0
7832,0,0,0,0
9864,0,0,0,0
11897,0,0,0,0
13929,0,0,0,0
15862,0,0,0,0
17894,0,0,0,0
19928,0,0,0,0
21860,0,0,0,0
23892,0,0,0,0
25924,0,0,0,0
27854,0,0,0,0
29887,0,0,0,0
31920,0,0,0,0
33852,0,0,0,0
35884,0,0,0,0
37916,0,0,0,0
39848,0,0,0,0
41879,0,0,0,0
43912,0,0,0,0
43912,0,0,0,0,0
47878,0,0,0,0
49911,0,0,0,0
49911,0,0,0,0,0
53875,0,0,0,0
55907,0,0,0,0
57939,0,0,0,0
59871,0,0,0,0
61904,0,0,0,0
63937,0,0,0,0
65870,0,0,0,0
