Elapsed .ino Time (millisecs),Lat (deg *10^-7),Long (deg *10^-7),Altitude (mm),Accuracy (mm)
""
289932,49782284,1148972124,73413,2633
291868,49782287,1148972132,73596,2638
293906,49782285,1148972138,73491,2640
3201,2635
289932,49782284,1148972124,73413,2633
291868,49782287,1148972132,73596,2638
293906,49782285,1148972138,73491,2640
2338,49782272,1148972119,73809,2655
4273,49782268,1148972118,74093,2655
6311,49782257,1148972114,74207,2654
8249,49782249,1148972112,74300,2647
10288,49782243,1148972110,74410,2646
12324,49782242,1148972114,74532,2654
14261,49782246,1148972126,74866,2670
16300,49782247,1148972139,75023,2681
18335,49782244,1148972147,75055,2692
20275,49782242,1148972155,75063,2701
22313,49782237,1148972163,75016,2710
24351,49782234,1148972172,75034,2721
26290,49782232,1148972190,75219,2735
28325,49782234,1148972205,75391,2750
30261,49782230,1148972214,75429,2766
32297,49782229,1148972224,75493,2786
34334,49782222,1148972237,75663,2803
36273,49782221,1148972238,75703,2818
38311,49782222,1148972240,75890,2834
40348,49782220,1148972242,76017,2848
42288,49782196,1148972254,75905,2851
44327,49782181,1148972254,75748,2861
46263,49782178,1148972264,75851,2871
48303,49782169,1148972290,75967,2877
50342,49782160,1148972307,75984,2881
52278,49782156,1148972322,76063,2882
54315,49782152,1148972340,76147,2878
56356,49782154,1148972361,76244,2876
