Elapsed .ino Time (millisecs),Lat (deg *10^-7),Long (deg *10^-7),Altitude (mm),Accuracy (mm)
66239,30601
,54677
310020,49785584,1148976532,59357,58381
311955,49785694,1148976680,62499,38952
313994,49785528,1148976187,66239,30601
1538,49784737,1148974431,71538,18772
3477,49784699,1148974322,73447,14836
5515,49784804,1148974362,74834,9374
7554,49784666,1148974080,74235,7449
9490,49784638,1148974040,75183,6523
11531,49784629,1148974013,75509,5853
13468,49784616,1148973975,75641,5307
15507,49784520,1148973953,74713,4879
17545,49784446,1148973970,74161,4463
19482,49784354,1148974065,73901,4164
21519,49784301,1148974167,73788,3910
23557,49784226,1148974283,73355,3748
25493,49784104,1148974466,72814,3684
27531,49784097,1148974610,72934,3602
29470,49784063,1148974745,72824,3529
31507,49783969,1148974879,72632,3502
33546,49783950,1148974944,72799,3500
35484,49783953,1148974987,73036,3531
37522,49783950,1148975024,73393,3543
39561,49783959,1148975062,73554,3549
41498,49783962,1148975087,73750,3571
43534,49783960,1148975103,73982,3594
45473,49783967,1148975129,74076,3635
47510,49783975,1148975147,74066,3674
49547,49783978,1148975158,74154,3695
51482,49783978,1148975167,74232,3711
53520,49783985,1148975172,74323,3698
55559,49784004,1148975179,74795,3673
57494,49784030,1148975186,75316,3640
59532,49784040,1148975183,75772,3628
61471,49784027,1148975166,76041,3639
