Elapsed .ino Time (millisecs),Lat (deg *10^-7),Long (deg *10^-7),Altitude (mm),Accuracy (mm)
1733,0,0,0,0
3765,0,0,0,0
5798,0,0,0,0
7729,0,0,0,0
9761,0,0,0,0
11792,0,0,0,0
11792,0,0,0,0,0
15756,0,0,0,0
17788,0,0,0,0
19820,0,0,0,0
21753,0,0,0,0
23785,0,0,0,0
25816,0,0,0,0
27748,0,0,0,0
29779,0,0,0,0
31811,0,0,0,0
33744,0,0,0,0
